book_name,book_pic,book_score,book_type,comment_nums,author,publisher,publisher_address,book_price,book_description
半小时漫画经济学-生活常识篇,https://img2.doubanio.com/view/subject/s/public/s33826853.jpg,6.7,科技,7278,陈磊·半小时漫画团队,海南出版社,海南,49,在大多数读者的心目中，经济学都是专业、晦涩的代名词，但陈磊（笔名：二混子）领衔的半小时漫画团队，却通过手绘漫画和段子，深入浅出地将经济学与我们在现实生活中安... 
极简宇宙史,https://img9.doubanio.com/view/subject/s/public/s28453934.jpg,9.1,科技,7257,[法] 克里斯托弗·加尔法德,上海三联书店,上海三联书店,0,我们的存在的确让太阳系与众不同。夏夜，你躺在沙滩上，仰望夜空。一颗小小的流星安静滑过，还来不及许愿，不可思议的事情发生了：你一下子穿越五十亿年，走进时光的旅... 
how to-如何不切实际地解决实际问题,https://img1.doubanio.com/view/subject/s/public/s33644728.jpg,8.3,科技,837,[美]兰道尔·门罗/Ent,天津科学技术出版社,天津科学技术,0,比尔·盖茨盛赞、全球畅销科普作家、What If？作者兰道尔·门罗新作。用超凡脑洞告诉你，再普通的任务都有一个荒诞却符合科学原理的解决方案。不切实际的答案，... 
上帝掷骰子吗-量子物理史话,https://img2.doubanio.com/view/subject/s/public/s3305272.jpg,9.3,科技,4785,曹天元,辽宁教育出版社,辽宁教育,35,《上帝掷骰子吗》这本书是关于量子论的故事。量子论是一个极为奇妙的理论：从物理角度来说，它在科学家中间引起了最为激烈的争议和关注；从现实角度来说，它给我们的社... 
章鱼的心灵,https://img2.doubanio.com/view/subject/s/public/s33840723.jpg,8.5,科技,44,[澳] 彼得·戈弗雷-史密斯、Peter Godfrey-Smith/黄颖,后浪丨九州出版社,后浪丨九州,0,做一只章鱼或乌贼是怎样的？动物是否能意识到自身感觉到的一切？完全不像人脑的大脑会如何看待世界？哲学×演化 → 心灵×物质主观经验的演化起源也许未必以... 
饮食的迷思-关于营养、健康和遗传的科学真相,https://img2.doubanio.com/view/subject/s/public/s33686153.jpg,8.3,科技,1746,[英] 蒂姆·斯佩克特/李超群,广西师范大学出版社,广西师范大学,0,【专业全面，打破偏见】拥有傲人发表量和超高引用率的“学霸”作者，为读者介绍、剖析几乎全部的饮食营养成分及常见的都市流行饮食方案，一书在手，熟悉饮食的方方面... 
从一到无穷大,https://img1.doubanio.com/view/subject/s/public/s33462079.jpg,8.9,科技,1180,[美] 乔治·伽莫夫/阳曦,天津人民出版社,天津人民,0,清华大学校长邱勇送给清华大学新生的入学礼物。中国近40年最具影响力的科普书之一。◆当你翻开这本书，本书将带你：玩遍数字游戏，感受时间与空间组成的奇妙四维世... 
数学之美（第三版）,https://img3.doubanio.com/view/subject/s/public/s33621061.jpg,9.2,科技,366,吴军,人民邮电出版社,人民邮电,69,八年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵... 
超越时空-通过平行宇宙、时间卷曲和第十维度的科学之旅,https://img9.doubanio.com/view/subject/s/public/s3980835.jpg,9.0,科技,4099,"[美] 加来道雄（Kaku, M）/刘玉玺、曹志良",上海科技教育出版社,上海科技教育,0,当代物理学中一些非常重要而又艰深的思想，往往因为难以形象浅显地解说而不易为公众了解。本书作者不畏艰辛，用很生动的方式向读者展示了现代物理前沿之一——超空间理... 
今日简史-人类命运大议题,https://img3.doubanio.com/view/subject/s/public/s29827660.jpg,8.1,科技,15557,[以] 尤瓦尔·赫拉利/林俊宏,中信出版集团,中信,0,四年前，尤瓦尔•赫拉利的《人类简史》横空出世，颠覆了我们关于人类进化的认知。2016年，他的《未来简史》再度惊艳四座，刷新了我们对未来的想象，掀起了全球关于... 
饮食术-风靡日本的科学饮食教科书,https://img9.doubanio.com/view/subject/s/public/s33744385.jpg,7.5,科技,682,[日] 牧田善二/肖爽、梁永宣,中国中医药出版社,中国中医药,0,您知道吗？许多身体不适都和不健康的饮食方式有关——不断悄悄增加的体重减不下来、血压过高、容易疲劳、工作中容易犯困、注意力不能持续集中……这些困扰我们的疾病和... 
生命是什么-生命是什么,https://img9.doubanio.com/view/subject/s/public/s2905586.jpg,8.7,科技,3618,埃尔温•薛定谔/罗来欧、罗辽复,湖南科学技术出版社,湖南科学技术,0,科学，特别是自然科学，最重要的目标之一，就是追寻科学本身的原动力，或曰追寻其第一推动。同时，科学的这种追求精神本身，又成为社会发展和人类进步的一种最基本的推... 
