,book_num,book_name,author,book_type,book_price,book_inventory,book_score,book_description,book_sales,comment_nums,publisher_id
71,202105161857121848,DK博物大百科-自然界的视觉盛宴,英国DK公司 [编著]/王敏洁、朱坤、吴海峰、何长欢、张兴春、张劲硕、林然、郑浩然、姜景一,科技,0,920,9.6,美国史密森国家自然历史博物馆100周年纪念出版物。本书的出版是史密森博物院国家自然历史博物馆的一个里程碑，本书展示了对地球自然历史的无与伦比的视觉盛宴。清... ,737,473,47
72,202105161857125831,打开一颗心-一位心外科医生手术台前的生死故事,[英] 斯蒂芬·韦斯塔比/高天羽,科技,0,29,9.1,“我经手过12000颗心脏。”作者在心外科暨胸外科从业数十年，手术成绩卓著。本书即汇集了作者经历的一些经典案例（多数发生在1970年代至2000年代之间），... ,200,4438,28
73,202105161857128696,复杂,梅拉妮·米歇尔/唐璐,科技,0,538,9.0,《复杂》内容简介：蚂蚁在组成群体时为何会表现出如此的精密性和具有目的性7数以亿计的神经元是如何产生出像意识这样极度复杂的事物7是什么在引导免疫系统、互联网、... ,694,2547,3
74,202105161857127591,规模-复杂世界的简单法则,杰弗里·韦斯特 (Geoffrey West)/张培,科技,0,715,8.0,生命体、城市、公司，乃至一切复杂万物，是否都存在相通的内在生长逻辑？制约生命与死亡、城市化的扩张及公司寿命的决定因素究竟是什么？人类能否通过融汇生物学、物理... ,523,1917,1
75,202105161857127984,什么是数学-对思想和方法的基本研究,R•柯朗、H•罗宾、I·斯图尔特/左平、张饴慈,科技,0,223,9.3,《什么是数学：对思想和方法的基本研究(第三版)》是世界著名的数学科普读物，它搜集了许多经典的数学珍品，对整个数学领域中的基本概念与方法，做了精深而生动的阐述... ,159,1138,48
76,202105161857129420,一想到还有95%的问题留给人类，我就放心了,[巴拿马] 豪尔赫•陈、[美] 丹尼尔·怀特森/苟利军、张晓佳、郝小楠,科技,0,668,8.5,这是一本“逆向科普”的科普书。你以为你知道的事情，其实连世界顶尖科学家都不知道。这本书告诉你那些“顶尖科学家都不知道的事情” 。但这并非一本“答案”之书。本... ,3,1344,13
77,202105161857125195,信息传,吴军,科技,99,610,8.5,70多年前，这个星球上极为聪明和智慧的头脑，时常聚集在纽约比克曼酒店，讨论后工业时代层次的科学问题，其中包括冯·诺伊曼、图灵、维纳和香农等人。在一次讨论中作... ,98,346,1
78,202105161857126184,你一定爱读的极简欧洲史,[澳]约翰·赫斯特（John Hirst）/席玉苹,科技,0,8,8.2,“欧洲，为什么老是抢第一？”澳大利亚知名历史学家约翰•赫斯特在本书中的一场引人入胜的探索，为我们梳理出欧洲文明所以能改变全世界的各种特质。作者从三大元素：... ,259,45957,28
79,202105161857126331,怎样观察一棵树-探寻常见树木的非凡秘密,[美] 南茜·罗斯·胡格（Nancy Ross Hugo）、[美] 罗伯特·卢埃林（Robert Llewellyn）,科技,0,434,9.1,人人都知道树长什么样子，对吗？但你真的观察过红花槭上精巧的花朵吗？或是鹅掌楸正在萌发的嫩叶？水青冈的枝条？当你仔细观察一棵树时，一个被形状和细节填充的新世界... ,720,790,7
80,202105161857122094,消失的微生物-滥用抗生素引发的健康危机,［美］马丁•布莱泽/傅贺、严青（校）,科技,0,355,8.7,为什么现在的孩子越来越高、越来越胖？为什么青少年糖尿病越来越多、发病年龄越来越小？为什么越来越多的现代人患上了哮喘、过敏性鼻炎以及五花八门的食物过敏？种种“... ,489,1757,3
